1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
2,1,2
2,2,2
2,3,4
2,4,4
2,5,6
2,6,6
2,7,8
2,8,8
2,9,10
2,10,10
2,11,12
2,12,12
2,13,14
2,14,14
2,15,16
2,16,16
2,17,18
2,18,18
2,19,20
2,20,20
3,1,3
3,2,4
3,3,3
3,4,6
3,5,7
3,6,6
3,7,9
3,8,10
3,9,9
3,10,12
3,11,13
3,12,12
3,13,15
3,14,16
3,15,15
3,16,18
3,17,19
3,18,18
3,19,21
3,20,22
4,1,4
4,2,4
4,3,6
4,4,4
4,5,8
4,6,8
4,7,10
4,8,8
4,9,12
4,10,12
4,11,14
4,12,12
4,13,16
4,14,16
4,15,18
4,16,16
4,17,20
4,18,20
4,19,22
4,20,20
5,1,5
5,2,6
5,3,7
5,4,8
5,5,5
5,6,10
5,7,11
5,8,12
5,9,13
5,10,10
5,11,15
5,12,16
5,13,17
5,14,18
5,15,15
5,16,20
5,17,21
5,18,22
5,19,23
5,20,20
6,1,6
6,2,6
6,3,6
6,4,8
6,5,10
6,6,6
6,7,12
6,8,12
6,9,12
6,10,14
6,11,16
6,12,12
6,13,18
6,14,18
6,15,18
6,16,20
6,17,22
6,18,18
6,19,24
6,20,24
7,1,7
7,2,8
7,3,9
7,4,10
7,5,11
7,6,12
7,7,7
7,8,14
7,9,15
7,10,16
7,11,17
7,12,18
7,13,19
7,14,14
7,15,21
7,16,22
7,17,23
7,18,24
7,19,25
7,20,26
8,1,8
8,2,8
8,3,10
8,4,8
8,5,12
8,6,12
8,7,14
8,8,8
8,9,16
8,10,16
8,11,18
8,12,16
8,13,20
8,14,20
8,15,22
8,16,16
8,17,24
8,18,24
8,19,26
8,20,24
9,1,9
9,2,10
9,3,9
9,4,12
9,5,13
9,6,12
9,7,15
9,8,16
9,9,9
9,10,18
9,11,19
9,12,18
9,13,21
9,14,22
9,15,21
9,16,24
9,17,25
9,18,18
9,19,27
9,20,28
10,1,10
10,2,10
10,3,12
10,4,12
10,5,10
10,6,14
10,7,16
10,8,16
10,9,18
10,10,10
10,11,20
10,12,20
10,13,22
10,14,22
10,15,20
10,16,24
10,17,26
10,18,26
10,19,28
10,20,20
11,1,11
11,2,12
11,3,13
11,4,14
11,5,15
11,6,16
11,7,17
11,8,18
11,9,19
11,10,20
11,11,11
11,12,22
11,13,23
11,14,24
11,15,25
11,16,26
11,17,27
11,18,28
11,19,29
11,20,30
12,1,12
12,2,12
12,3,12
12,4,12
12,5,16
12,6,12
12,7,18
12,8,16
12,9,18
12,10,20
12,11,22
12,12,12
12,13,24
12,14,24
12,15,24
12,16,24
12,17,28
12,18,24
12,19,30
12,20,28
13,1,13
13,2,14
13,3,15
13,4,16
13,5,17
13,6,18
13,7,19
13,8,20
13,9,21
13,10,22
13,11,23
13,12,24
13,13,13
13,14,26
13,15,27
13,16,28
13,17,29
13,18,30
13,19,31
13,20,32
14,1,14
14,2,14
14,3,16
14,4,16
14,5,18
14,6,18
14,7,14
14,8,20
14,9,22
14,10,22
14,11,24
14,12,24
14,13,26
14,14,14
14,15,28
14,16,28
14,17,30
14,18,30
14,19,32
14,20,32
15,1,15
15,2,16
15,3,15
15,4,18
15,5,15
15,6,18
15,7,21
15,8,22
15,9,21
15,10,20
15,11,25
15,12,24
15,13,27
15,14,28
15,15,15
15,16,30
15,17,31
15,18,30
15,19,33
15,20,30
16,1,16
16,2,16
16,3,18
16,4,16
16,5,20
16,6,20
16,7,22
16,8,16
16,9,24
16,10,24
16,11,26
16,12,24
16,13,28
16,14,28
16,15,30
16,16,16
16,17,32
16,18,32
16,19,34
16,20,32
17,1,17
17,2,18
17,3,19
17,4,20
17,5,21
17,6,22
17,7,23
17,8,24
17,9,25
17,10,26
17,11,27
17,12,28
17,13,29
17,14,30
17,15,31
17,16,32
17,17,17
17,18,34
17,19,35
17,20,36
18,1,18
18,2,18
18,3,18
18,4,20
18,5,22
18,6,18
18,7,24
18,8,24
18,9,18
18,10,26
18,11,28
18,12,24
18,13,30
18,14,30
18,15,30
18,16,32
18,17,34
18,18,18
18,19,36
18,20,36
19,1,19
19,2,20
19,3,21
19,4,22
19,5,23
19,6,24
19,7,25
19,8,26
19,9,27
19,10,28
19,11,29
19,12,30
19,13,31
19,14,32
19,15,33
19,16,34
19,17,35
19,18,36
19,19,19
19,20,38
20,1,20
20,2,20
20,3,22
20,4,20
20,5,20
20,6,24
20,7,26
20,8,24
20,9,28
20,10,20
20,11,30
20,12,28
20,13,32
20,14,32
20,15,30
20,16,32
20,17,36
20,18,36
20,19,38
20,20,20
